Client name,Service Offerings,Service Lines,[Year-Month],[Service Offering ID],Country,Collection Days,Revenue,Gross Profit,Direct Profit,Total Cost,Total Cost GP,Total Cost DP,External Blue,External Green,External Red,External Yellow,External Pink,External Orange,External Black,Internal Blue,Internal green,Internal Red,Internal Yellow,Internal Orange,Internal White,Internal Brown,Internal Blue,Internal Pink,Internal Pink
ABC-OPTIMA GmbH,Sharpy Knife,Mars,2023-Dec,SO00062,SPAIN,UNKNOWN,,-6.8183,-1194.6964,1194.6964,6.8183,1187.8781,874.6546,,56,241.8,,,,,,,,,,6.8183,,15.4235,
ABC-OPTIMA GmbH,Sharpy Knife,Mars,2023-Dec,SO00062,SPAIN,UNKNOWN,,-190.0998,-190.0998,190.0998,190.0998,0,,,,,,,,,,,,,,190.0998,,,
ABC-OPTIMA GmbH,Sharpy Knife,Mars,2023-Dec,SO00062,SPAIN,UNKNOWN,,0,0,0,0,0,,,,,,,,,,,,,,,,,
ABC-OPTIMA GmbH,Sharpy Knife,Mars,2023-Dec,SO00062,SPAIN,UNKNOWN,,-107.4705,-107.4705,107.4705,107.4705,0,,,,,,,,,,,,,,107.4705,,,
ABC-OPTIMA GmbH,Sharpy Knife,Mars,2023-Dec,SO00062,SPAIN,UNKNOWN,,-11.7138,-11.7138,11.7138,11.7138,0,,,,,,,,,,,,,,11.7138,,,
ABC-OPTIMA GmbH,Sharpy Knife,Mars,2023-Dec,SO00062,SPAIN,UNKNOWN,,-166.3933,-166.3933,166.3933,166.3933,0,,,,,,,,,,,,,,166.3933,,,
ABC-OPTIMA GmbH,Sharpy Knife,Mars,2023-Dec,SO00062,SPAIN,UNKNOWN,,-28.6584,-28.6584,28.6584,28.6584,0,,,,,,,,,,,,,,28.6584,,,
ABC-OPTIMA GmbH,Sharpy Knife,Mars,2023-Dec,SO00062,SPAIN,UNKNOWN,,0,-14.2907,14.2907,0,14.2907,,,7.41,6.8807,,,,,,,,,,,,,
ABC-OPTIMA GmbH,Sharpy Knife,Mars,2023-Dec,SO00062,SPAIN,UNKNOWN,,0,-127.5589,127.5589,0,127.5589,95.8015,,22.2302,9.5272,,,,,,,,,,,,,
ABC-OPTIMA GmbH,Sharpy Knife,Mars,2023-Dec,SO00062,SPAIN,UNKNOWN,-0.0105,-455.8871,-590.0084,589.9979,455.8766,134.1213,,,,,,,,,134.1213,,,,,455.8766,,,
